Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Student Learning Objective,1.3.2.1.1.1,,"I can identify, with guidance, movements that suggest ideas, using simple dance terminology.",KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.3.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.2.1.2.1,,"I can select, with guidance, context clues from movement to identify meaning and intent in a dance, using simple dance terminology.",KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.3.2.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.3.2.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.2.2.1.1,,"I can discuss specific context clues from movement to identify the main idea of a dance, using basic dance terminology.",03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.3.2.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.2.2.2.1,,I can explain how movement communicates feelings and ideas through examples.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.3.2.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.3.2.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.2.3.1.1,,"I can explain how the elements of dance display the intent of a dance, using dance terminology.",06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.3.2.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.2.3.2.1,,I can examine and relate ways that dances create context and meaning through examples.,03-05,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.3,RE.9,Evaluate: Students will apply criteria to evaluate artistic work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.3.3.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.1.1.1,,I can identify specific parts of a performance.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.1.2.1,,I can discuss specific parts of a performance.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.3.3.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.2.1.1,,I can identify the specific components and movement characteristics of a performance.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.2.2.1,,I can evaluate with given criteria the specific components and movement characteristics of a performance.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.3.3.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.3.1.1,,"I can evaluate the artistic intent of dance genres and styles, using basic dance terminology.",06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.3.3.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.3.3.3.2.1,,I can develop criteria to evaluate the various components and movement characteristics of a performance.,06-08,2023-11-19T00:00:00+00:00
Artistic Process,1.4,,Connecting,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.1,CN.10,Synthesize: Students will synthesize and relate knowledge and personal experiences to make art.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.4.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.4.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.1.1.1,,I can identify dance professions.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.1.1.2,,I can identify how dance connects to other subjects.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.1.1.3,,I can identify how dance can make one’s mind and body feel good.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.4.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.1.2.1,,I can explore dance professions and describe the manner in which dance skills translate to other careers.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.1.2.2,,I can discuss how dance can make one’s mind and body feel good.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.4.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.4.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.4.1.2.1.1,,I can examine the manner in which dance and other content areas interrelate.,03-05,2023-11-19T00:00:00+00:00
